OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Development Site Land Area (sqft),Minimum Development Site Land Area (sqft),Maximum Development Site Land Area (sqft),Sum Existing Housing Units,Minimum Existing Housing Units,Maximum Existing Housing Units,Sum Existing Commercial Sqft,Minimum Existing Commercial Sqft,Maximum Existing Commercial Sqft,Sum Potential Housing Units (all residential development),Minimum Potential Housing Units (all residential development),Maximum Potential Housing Units (all residential development),Sum Potential Commercial Floor Area (all commercial development),Minimum Potential Commercial Floor Area (all commercial development),Maximum Potential Commercial Floor Area (all commercial development),Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Max Dwellings Per Sq Mi,Mean Max Comm FAR ,Current Comm Percent,Mean Max Dwelling Ratio,Current Dwellings Per Sq Mi,Count of Points
301,WA,53,33,53033,7203,2,530330072032,1857,16881.8,0.11,1671,15190.9,1599832,1923,381597,969,0,258,2183831,0,701790,10789,13,2576,10790382,13461,2575780,0.0573888,50,0.10904057,98081.81818,6.744696943,1.365037704,11.13,0.089813699,1
302,WA,53,33,53033,7301,1,530330073011,1556,31120,0.05,1538,30760,721912.2728,4814,91427,1085,0,384,864898,0,226301,5539.296501,48,913.2965006,5539536.543,48140,913375.5428,0.02589621,27,0.04792242,110785.93,7.673420651,1.198065239,5.11,0.195873249,3
303,WA,53,33,53033,7301,2,530330073012,1242,62100,0.02,1220,61000,388368.7272,3605,88454,988,0,199,179525,0,73096,2840.703499,25,619,2841263.457,25235,619178,0.01393145,22,0.02176654,142035.175,7.315891467,0.462254006,2.88,0.34780117,0
304,WA,53,33,53033,7301,3,530330073013,990,33000,0.03,978,32600,312391,4772,59816,777,0,293,412137,0,106466,2130,32,402,2130259,32211,402462,0.01120598,14,0.02713667,71000,6.81920734,1.319298571,2.74,0.364788732,0
305,WA,53,33,53033,7302,1,530330073021,1183,39433.3,0.03,1176,39200,506052,469,90313,807,0,366,3666662,0,1062251,14034,0,2452,14048334,14070,2452500,0.01815292,22,0.03204064,467800,27.76065306,7.245622979,17.39,0.057503206,2
306,WA,53,33,53033,7302,2,530330073022,2325,33214.3,0.07,2029,28985.7,1019355,903,76384,4175,0,1014,5599182,0,717085,23051,0,1680,23073100,19866,1680448,0.03656598,46,0.06619454,329300,22.63499958,5.492867549,5.52,0.181120125,3
307,WA,53,33,53033,7302,3,530330073023,2103,105150,0.02,2085,104250,376676,6485,111483,1120,0,396,949143,-5270,525337,8656,143,2453,8657660,142670,2452626,0.013512,17,0.02261714,432800,22.98436853,2.519786235,7.73,0.129390018,3
308,WA,53,33,53033,7303,1,530330073031,1537,25616.7,0.06,1440,24000,958342,3594,90280,1223,0,432,3593760,0,424788,5510,25,542,5512452,25158,541680,0.03437713,27,0.05926133,91833.33333,5.752071807,3.749976522,4.51,0.221960073,4
309,WA,53,33,53033,7303,2,530330073032,1807,60233.3,0.03,1412,47066.7,587724,2879,110457,2036,0,1097,880360,-12227,811520,4401,17,1097,4401174,17274,1097360,0.02108262,13,0.03228807,146700,7.488504808,1.497913987,2.16,0.462622131,0
310,WA,53,33,53033,7303,3,530330073033,1033,34433.3,0.03,1028,34266.7,514430,6476,75706,815,0,461,2023039,0,571329,3572,39,742,3571824,38856,741670,0.01845343,17,0.02949765,119066.6667,6.943265362,3.932583636,4.38,0.228163494,0
311,WA,53,33,53033,7403,1,530330074031,1368,68400,0.02,1306,65300,352689.3399,3398,68866,1014.912875,0,295,64365,-2016,26390,1382.942393,7,356,577778,0,356382,0.01265158,31,0.01983375,69147.11963,1.638206588,0.182497719,1.36,0.733879358,2
312,WA,53,33,53033,7403,2,530330074032,1262,42066.7,0.03,1239,41300,450870,522,71325,946,0,70,140977,0,110949,2108,0,369,658819,0,369107,0.01617341,59,0.02593897,70266.66667,1.461217202,0.312677712,2.23,0.448766603,2
313,WA,53,33,53033,7404,1,530330074041,1522,50733.3,0.03,1509,50300,441563.6601,1798,36024,1000.087125,0,112,14974,0,5420,1446.057607,4,124,104349,0,26643,0.01583967,52,0.02766505,48201.92025,0.236317001,0.033911305,1.45,0.691595632,2
314,WA,53,33,53033,7404,2,530330074042,1295,43166.7,0.03,1290,43000,431526,1917,21612,1018,0,58,608,0,608,1837,9,96,0,0,0,0.01547947,54,0.03168976,61233.33333,0,0.001408953,1.80,0.554164398,1
315,WA,53,33,53033,7405,1,530330074051,1426,47533.3,0.03,1421,47366.7,554740.4088,10,54161.40883,1054,0,103,153281.9153,-2400,44881.91528,2556.947898,0,207.9478983,1226640.846,0,207872.8463,0.01989951,56,0.030274,85231.59661,2.211197935,0.276312871,2.43,0.412210198,3
316,WA,53,33,53033,7405,2,530330074052,1383,69150,0.02,1380,69000,361887,1351,18593,1429,0,96,25828,-1232,6873,1600,6,84,179735,0,55717,0.0129815,54,0.02062363,80000,0.49666056,0.071370345,1.12,0.893125,1
317,WA,53,33,53033,7406,1,530330074061,1293,43100,0.03,1220,40666.7,506683,577,38261,1033,0,84,89385,-196,21840,2257,0,169,468020,0,111014,0.01817548,63,0.03121398,75233.33333,0.923693907,0.176412076,2.18,0.457687195,2
318,WA,53,33,53033,7406,2,530330074062,1372,45733.3,0.03,1369,45633.3,285538,1440,35827,1095,0,222,33114,0,9533,1224,7,117,276838,0,81242,0.01024272,31,0.02702496,40800,0.969531201,0.115970554,1.12,0.894607843,4
319,WA,53,33,53033,7501,1,530330075011,1298,43266.7,0.03,1286,42866.7,611810,949,61448,944,0,234,49031,0,23428,2779,0,318,1176897,0,317993,0.02194655,106,0.03448419,92633.33333,1.92363152,0.080140893,2.94,0.339690536,0
320,WA,53,33,53033,7501,2,530330075012,1314,32850,0.04,1233,30825,704498,1383,39055,1020,0,141,68403,-1088,26440,1983,4,202,671115,0,202110,0.0252715,124,0.03858777,49575,0.952614486,0.097094669,1.94,0.514372163,1
321,WA,53,33,53033,7501,3,530330075013,1415,35375,0.04,1396,34900,773316,1574,98361,1031,0,126,109917,0,42536,1740,3,295,708379,0,294891,0.02774017,93,0.04209311,43500,0.916027859,0.142137238,1.69,0.592528736,3
322,WA,53,33,53033,7502,1,530330075021,1146,38200,0.03,1131,37700,546148,1837,49703,839,0,154,149262,-634,89180,1456,4,199,724894,0,198533,0.01959115,72,0.03104479,48533.33333,1.327284912,0.273299545,1.74,0.576236264,0
323,WA,53,33,53033,7502,2,530330075022,1382,34550,0.04,1344,33600,634254,1767,36051,976,0,57,43846,-3342,11482,1983,3,96,1002396,0,95562,0.02275176,99,0.03638234,49575,1.580433076,0.069130033,2.03,0.49218356,1
324,WA,53,33,53033,7502,3,530330075023,1396,27920,0.05,999,19980,1077101,2158,480822,1351,0,150,426346,0,131428,5142,10,2258,2870684,0,724940,0.03863744,54,0.05455408,102840,2.665194815,0.395827318,3.81,0.262738234,3
325,WA,53,33,53033,7503,1,530330075031,1311,26220,0.05,1252,25040,801266,1739,44040,1004,0,248,925167,-716,100528,4122,9,228,4122741,8999,227907,0.0287427,72,0.04635259,82440,5.145283838,1.154631546,4.11,0.243571082,9
326,WA,53,33,53033,7503,2,530330075032,1461,48700,0.03,1208,40266.7,432351,1686,51027,968,0,142,194689,0,23040,2092,7,264,1951483,0,264065,0.01550901,40,0.02606033,69733.33333,4.513654415,0.45030311,2.16,0.462715105,5
327,WA,53,33,53033,7600,1,530330076001,1399,19985.7,0.07,1358,19400,1118582,1813,21766,769,0,50,82720,0,16550,1008,0,57,596751,0,56859,0.04012563,227,0.06587451,14400,0.533488828,0.07395077,1.31,0.762896825,1
328,WA,53,33,53033,7600,2,530330076002,1671,20887.5,0.08,1552,19400,1593359,323,329300,1053,0,102,116042,0,94620,2136,0,121,183273,0,92420,0.05715646,215,0.08242,26700,0.115023043,0.072828534,2.03,0.492977528,1
329,WA,53,33,53033,7600,3,530330076003,1470,21000,0.07,1434,20485.7,1297329,1520,168810,854,0,64,463932,-3192,360195,1872,0,395,598539,0,282564,0.04653738,188,0.07250677,26742.85714,0.461362538,0.357605511,2.19,0.456196581,1
330,WA,53,33,53033,7700,1,530330077001,1337,8913.3,0.15,1326,8840,2708740,189,43958,594,0,7,61841,0,15980,832,0,85,272857,0,85030,0.09716744,546,0.15267916,5546.666667,0.100732075,0.022830172,1.40,0.713942308,1
331,WA,53,33,53033,7700,2,530330077002,1116,12400,0.09,1110,12333.3,1634050,731,47179,496,0,30,101055,0,30234,859,0,80,313467,0,80280,0.05861584,336,0.08987626,9544.444444,0.191834399,0.061843273,1.73,0.5774156,2
332,WA,53,33,53033,7700,3,530330077003,1353,15033.3,0.09,1305,14500,1653903,150,22167,614,0,115,24494,0,6946,1168,0,104,511152,0,103626,0.05932849,337,0.09367418,12977.77778,0.309058028,0.014809817,1.90,0.525684932,3
333,WA,53,33,53033,7700,4,530330077004,1684,24057.1,0.07,1649,23557.1,1268831,158,43081,978,0,56,57331,0,26321,1525,0,40,128460,0,29514,0.04551494,238,0.07238713,21785.71429,0.101242798,0.04518411,1.56,0.641311475,0
334,WA,53,33,53033,7800,1,530330078001,1290,4161.3,0.31,1284,4141.9,5742849.484,0.04045795,281069.306,570.4725323,0,19,122385.0374,0,58654,727.8607971,0,75,106103.9048,0,75435,0.22997645,603,0.31062141,2347.938055,0.018475829,0.021310856,1.28,0.783765982,4
335,WA,53,33,53033,7800,2,530330078002,1545,8131.6,0.19,1541,8110.5,3418387.243,1281,198707.243,636,0,6,38783.27911,-2000,21850,611.5297443,0,7,0,0,0,0.12791454,608,0.18897813,3218.577602,0,0.01134549,0.96,1.040014825,1
336,WA,53,33,53033,7800,3,530330078003,1180,9833.3,0.12,1160,9666.7,2207519,639,77013,543,0,34,170056,0,68775,944,0,50,481298,0,50400,0.07918748,430,0.12055695,7866.666667,0.218026663,0.077034898,1.74,0.575211864,3
337,WA,53,33,53033,7800,4,530330078004,1304,6863.2,0.19,1300,6842.1,3512506,489,175491,517,0,2,197086,0,104323,624,0,35,14707,0,11011,0.12629113,530,0.18976277,3284.210526,0.004187039,0.056109797,1.21,0.828525641,1
338,WA,53,33,53033,7901,1,530330079011,1391,34775,0.04,1376,34400,682201,2401,43899,1050,0,107,84965,-2700,31279,1653,5,122,579059,0,121980,0.0244716,57,0.04042926,41325,0.848809955,0.124545405,1.57,0.635208711,1
339,WA,53,33,53033,7901,2,530330079012,1445,24083.3,0.06,1431,23850,1111881,230,159236,972,0,164,242113,0,80004,1859,0,239,433935,0,84641,0.03988501,119,0.06276068,30983.33333,0.390271081,0.21775082,1.91,0.522861754,2
340,WA,53,33,53033,7902,1,530330079021,1144,38133.3,0.03,1096,36533.3,598101,646,75278,736,0,157,134709,0,55177,2329,0,293,1710304,0,292455,0.0214548,59,0.0329106,77633.33333,2.859557165,0.225227846,3.16,0.316015457,1
341,WA,53,33,53033,7902,2,530330079022,1337,22283.3,0.06,1324,22066.7,1124371,1687,93311,813,0,242,194320,0,59690,2126,0,436,1669272,0,436229,0.04033298,175,0.05904481,35433.33333,1.484627405,0.172825518,2.62,0.382408278,0
342,WA,53,33,53033,7902,3,530330079023,1265,18071.4,0.07,1262,18028.6,1422734,609,42643,628,0,93,53461,0,16446,1040,0,128,363727,0,127931,0.05103541,301,0.07452125,14857.14286,0.255653552,0.037576244,1.66,0.603846154,1
343,WA,53,33,53033,8002,1,530330080021,1359,67950,0.02,1347,67350,328606,3333,88954,1085,0,249,791677,-5877,237977,4141,23,623,4141189,23331,622678,0.01178769,24,0.01982211,207050,12.60229272,2.40919825,3.82,0.262014006,3
344,WA,53,33,53033,8002,2,530330080022,1435,28700,0.05,1393,27860,662496.0222,6651,63803.71717,1099.665449,0,139,975969.2376,-2700,252463.5872,2895.609562,0,209.8338951,2894092.743,0,209704.5715,0.02376491,35,0.04602467,57912.19124,4.368468106,1.473169959,2.63,0.379769933,3
345,WA,53,33,53033,8002,3,530330080023,1843,92150,0.02,1679,83950,395053,2882,21260,1545,0,314,548087,-2467,155500,5004,18,428,5000229,18012,428120,0.01417107,40,0.02462528,250200,12.6571093,1.387375871,3.24,0.308752998,2
346,WA,53,33,53033,8003,1,530330080031,1428,47600,0.03,1417,47233.3,416190,2519,52521,1101,0,245,319887,-905,57800,2839,16,328,2832815,15744,328256,0.01492956,43,0.02676269,94633.33333,6.806542685,0.768608088,2.58,0.38781261,9
347,WA,53,33,53033,8003,2,530330080032,1572,78600,0.02,1468,73400,312802,3331,38878,1232,0,298,350288,0,78679,2970,28,330,2968856,28314,330463,0.01122068,22,0.02121954,148500,9.491166936,1.119839387,2.41,0.414814815,0
348,WA,53,33,53033,8003,3,530330080033,1353,45100,0.03,1234,41133.3,410600,4400,64133,1028,0,233,613115,0,273863,2751,24,401,2752220,24200,400831,0.01472891,21,0.0281493,91700,6.702922552,1.493217243,2.68,0.373682297,0
349,WA,53,33,53033,8004,1,530330080041,1363,136300,0.01,1307,130700,224571.8687,7198,59293,900.3345512,0,301,137446.3496,0,48505,1857.128465,49.12846535,504,1857033.821,49168.82088,503812,0.0080557,14,0.01422953,185712.8465,8.269218366,0.612037253,2.06,0.484799284,0
350,WA,53,33,53033,8004,2,530330080042,961,48050,0.02,956,47800,278148,140,77145,682,0,174,505196,0,350310,1461,0,245,1462084,0,245114,0.00997761,15,0.01990608,73050,5.256496541,1.816284856,2.14,0.466803559,1
351,WA,53,33,53033,8004,3,530330080043,1156,14450,0.08,1147,14337.5,933989.9005,0.08464881,165746,806,0,328,1029516.478,0,218428.5662,3351.428272,0,1199,3530233.509,0,1198798,0.04234235,24,0.07556006,41892.8534,3.779734135,1.102277956,4.16,0.24049448,1
352,WA,53,33,53033,8101,1,530330081011,896,22400,0.04,871,21775,645675.2837,457.2828276,118833,691,0,232,724038.8858,0,146338,2415.762121,0,427,2420933.274,0,427161,0.02316155,28,0.03805821,60394.05302,3.749459418,1.121366892,3.50,0.286038097,10
353,WA,53,33,53033,8101,2,530330081012,1352,67600,0.02,1032,51600,361485.4691,163.3505088,84565,942.9065844,0,262,2571446.359,0,1452228,6332.680012,0.49985165,2174,6331147.732,501.9065939,2173592,0.01296701,24,0.02269806,316634.0006,17.51425237,7.113553874,6.72,0.148895346,1
354,WA,53,33,53033,8101,3,530330081013,909,22725,0.04,905,22625,712148.745,252.4170908,124308.4408,1035.093416,0,630.0934157,1886927.923,0,734127,7050.81984,0,1530.81984,7076172.954,0,1531561.175,0.02962592,24,0.04342952,176270.496,9.936369338,2.64962613,6.81,0.146804689,2
355,WA,53,33,53033,8102,1,530330081021,1674,16740,0.1,1521,15210,1718576.982,3058,307412.982,1512.234581,0,398,14816935.01,0,2488825.012,33109.94393,0,9196.943931,36571672.35,25080,9196614.345,0.06164801,66,0.10047242,331099.4393,21.28020608,8.621630086,21.89,0.045673124,5
356,WA,53,33,53033,8102,2,530330081022,1491,13554.5,0.11,1484,13490.9,1632662.89,614,95893.94091,1021,0,230,9163750.489,-3700,1632820,27070,0,1778,27074566.4,0,1778370,0.06591038,83,0.11428557,246090.9091,16.58307209,5.612763385,26.51,0.03771703,9
357,WA,53,33,53033,8200,1,530330082001,1894,21044.4,0.09,1878,20866.7,1523232.277,1205,102986.018,1342.765419,0,386,13776740.99,0,1217984,35578.60085,0,3081.056069,37004241.75,36150,3080945.655,0.05464081,48,0.09352232,395317.7873,24.29323637,9.04441246,26.50,0.037740816,6
358,WA,53,33,53033,8200,2,530330082002,1377,45900,0.03,1369,45633.3,348727,4806,61529,1578,0,548,407713,0,205148,3251,38,636,2021946,0,635841,0.01250942,15,0.02672933,108366.6667,5.798077006,1.169146639,2.06,0.485389111,1
359,WA,53,33,53033,8200,3,530330082003,1583,79150,0.02,1555,77750,339781.7407,397,98348,1326,0,487,151157,0,109550,2277.455214,0,589.4552142,440035.9013,0,440035.9013,0.01218842,12,0.02486181,113872.7607,1.295054585,0.444864988,1.72,0.582228793,1
360,WA,53,33,53033,8300,1,530330083001,2101,42020,0.05,2063,41260,831701,5196,138824,1497,0,209,1951002,0,939398,6878,42,1111,1686683,0,330509,0.02983442,34,0.04741682,137560,2.027992031,2.345797348,4.59,0.21765048,2
361,WA,53,33,53033,8300,2,530330083002,1359,33975,0.04,1354,33850,590204,1425,199734,1054,0,160,295324,0,128375,7851,19,4169,6452681,0,4168604,0.02117155,24,0.0444578,196275,10.93296725,0.500376141,7.45,0.134250414,2
362,WA,53,33,53033,8401,1,530330084011,992,33066.7,0.03,989,32966.7,627650.5912,1490,207076.5912,855,0,260,477482.0847,0,171598.0847,2884.052102,8,795.0521017,2619529.154,0,794765.1537,0.0225148,28,0.03386198,96135.07006,4.17354686,0.760745057,3.37,0.29645789,3
363,WA,53,33,53033,8401,2,530330084012,1280,64000,0.02,1168,58400,307275,3689,30757,1051,0,150,21726,0,12210,2459,30,246,0,0,0,0.01102251,19,0.01908459,122950,0,0.070705394,2.34,0.427409516,1
364,WA,53,33,53033,8401,3,530330084013,1319,32975,0.04,1312,32800,790639,200,262621,1269,0,365,1753645,0,1097689,6103,0,1887,2359789,0,479339,0.02836138,22,0.04392559,152575,2.984660509,2.218009736,4.81,0.207930526,0
365,WA,53,33,53033,8402,1,530330084021,1081,54050,0.02,1075,53750,358569,1688,34241,848,0,141,225291,0,27600,1765,9,161,1245481,0,120795,0.01286254,39,0.02075364,88250,3.473476514,0.628305849,2.08,0.480453258,3
366,WA,53,33,53033,8402,2,530330084022,934,46700,0.02,909,45450,249354,367,29909,848,0,211,141612,0,19737,1260,0,155,1262847,1899,154779,0.00894469,24,0.01704892,63000,5.064474602,0.567915494,1.49,0.673015873,5
367,WA,53,33,53033,8402,3,530330084023,1044,52200,0.02,1028,51400,306007,1697,48189,803,0,249,173116,0,38845,1458,9,249,884520,0,249378,0.01097704,29,0.01836166,72900,2.890522112,0.565725621,1.82,0.550754458,2
368,WA,53,33,53033,8500,1,530330085001,1654,27566.7,0.06,1305,21750,889735.5274,2878,77692.66603,1760.348834,0,506,3119639.966,-5297,1195387,9998.606122,22,1836,5489620.456,0,1836120,0.03191601,38,0.06012249,166643.4354,6.169946334,3.506255364,5.68,0.176059424,0
369,WA,53,33,53033,8500,2,530330085002,1989,33150,0.06,1973,32883.3,974097,1158,180208,1554,0,325,1157116,0,506256,4631,0,1185,796367,0,325224,0.03494239,28,0.0584601,77183.33333,0.817543838,1.187885806,2.98,0.335564673,1
370,WA,53,33,53033,8500,3,530330085003,1262,21033.3,0.06,1186,19766.7,784278.4726,835.3339736,178048.1386,332.6511656,0,282,1306631.034,0,646191.0343,7137.393878,0,1656,3858994.544,0,1655700,0.02813327,16,0.05554326,118956.5646,4.920439205,1.666029453,21.46,0.046606811,1
371,WA,53,33,53033,8600,1,530330086001,1694,18822.2,0.09,1643,18255.6,1560688,1593,153592,890,0,84,552208,0,159665,3021,2,350,1320070,0,350092,0.05598438,187,0.08562914,33566.66667,0.845825687,0.353823442,3.39,0.294604436,1
372,WA,53,33,53033,8600,2,530330086002,2128,23644.4,0.09,2113,23477.8,1567233,1544,365613,1553,0,237,459039,0,237533,4247,0,947,2259982,0,422975,0.05621901,144,0.08739551,47188.88889,1.442020427,0.292897738,2.73,0.365669885,1
373,WA,53,33,53033,8600,3,530330086003,2394,34200,0.07,2405,34357.1,1712820,2221,664727,1055,0,362,1156725,0,496466,7821,10,3034,1760723,0,785069,0.06144155,27,0.07442711,111728.5714,1.027967329,0.67533366,7.41,0.134893236,1
374,WA,53,33,53033,8600,4,530330086004,1483,49433.3,0.03,1478,49266.7,446191,1807,28909,1153,0,122,90548,-584,55800,1963,8,129,369214,0,113065,0.01600561,50,0.02720175,65433.33333,0.827479712,0.202935514,1.70,0.587366276,0
375,WA,53,33,53033,8700,1,530330087001,1516,11661.5,0.13,1427,10976.9,2468995,891,346877,758,0,49,1069845,-708,869034,1878,0,519,212985,0,52142,0.08856648,378,0.13257501,14446.15385,0.086263844,0.433311935,2.48,0.403620873,1
376,WA,53,33,53033,8700,2,530330087002,1309,21816.7,0.06,1284,21400,1136998,1668,31991,643,0,52,64593,0,22344,1155,0,41,0,0,0,0.04078579,208,0.06332928,19250,0,0.056810126,1.80,0.556709957,1
377,WA,53,33,53033,8700,3,530330087003,1616,17955.6,0.09,1533,17033.3,1623944.025,218,36857,857,0,55,76617,0,15058,1561.272199,0,71,162884.5471,0,23393.54711,0.05825345,291,0.0869022,17347.46888,0.100301824,0.047179582,1.82,0.54891133,1
378,WA,53,33,53033,8800,1,530330088001,1445,11115.4,0.13,1428,10984.6,2321557,70,82801,1104,0,432,68531,0,27312,1527,0,387,921513,0,387095,0.08327802,507,0.12753084,11746.15385,0.396937486,0.029519413,1.38,0.722986248,1
379,WA,53,33,53033,8800,2,530330088002,1338,8362.5,0.16,1301,8131.3,3076093,997,424637,603,0,21,358519,-1619,225111,1785,0,258,694758,0,158299,0.11034401,420,0.15594792,11156.25,0.225857281,0.116550117,2.96,0.337815126,3
380,WA,53,33,53033,8800,3,530330088003,1130,14125,0.08,1093,13662.5,1483577,1127,28976,469,0,13,28564,0,8418,736,0,54,0,0,0,0.05321816,307,0.08276334,9200,0,0.019253466,1.57,0.637228261,1
381,WA,53,33,53033,8900,1,530330089001,1291,7594.1,0.17,1280,7529.4,3048639.376,7.53161798,633055.378,566.5901453,0,48.73832958,1698.946346,0,1504,437.8430134,0,46.27923837,1104.095205,0,1104.095205,0.11585297,387,0.1693546,2575.547138,0.00036216,0.00055728,0.77,1.294048616,1
382,WA,53,33,53033,8900,2,530330089002,1493,12441.7,0.12,1449,12075,2136450,1798,70504,636,0,9,46291,0,14990,1082,0,192,213300,0,183375,0.07663769,413,0.117692,9016.666667,0.099838517,0.021667252,1.70,0.58780037,0
383,WA,53,33,53033,8900,3,530330089003,2491,22645.5,0.11,1441,13100,2111316.807,440,159054,1284,0,532,286177,0,47991,3302.103079,0,743,2534663,0,743512,0.07573582,312,0.11351323,30019.1189,1.20051287,0.13554432,2.57,0.388843101,1
384,WA,53,33,53033,8900,4,530330089004,1459,16211.1,0.09,1455,16166.7,1695193,648,90305,609,0,12,151760,0,66402,1451,0,84,52876,0,16903,0.06080911,330,0.0897809,16122.22222,0.031191729,0.08952373,2.38,0.419710544,0
385,WA,53,33,53033,9000,1,530330090001,1580,10533.3,0.15,1533,10220,2761563.975,1107,297085,1023,0,155,1201271,-891,200445,11044.7278,2,1388,9876409.453,0,1388873,0.09906157,240,0.15478245,73631.51867,3.576382638,0.434996622,10.80,0.092623378,2
386,WA,53,33,53033,9000,2,530330090002,1633,23328.6,0.07,1613,23042.9,1283155.838,1960,237465,885,0,248,77192,0,19033,2837.342179,0,490,1731291.004,0,291033,0.04602846,135,0.06618702,40533.4597,1.349244536,0.060157931,3.21,0.311911622,1
387,WA,53,33,53033,9000,3,530330090003,1163,10572.7,0.11,1138,10345.5,1531684.162,1177,205657,809,0,170,281131,0,123750,2634.657821,0,807,1805738.996,0,806360,0.0549437,179,0.10950276,23951.43474,1.178923855,0.183543714,3.26,0.307060748,2
388,WA,53,33,53033,9100,1,530330091001,1902,15850,0.12,1292,10766.7,1747260,404,82758,1617,0,335,844898,-840,195993,6989,0,506,6882115,0,506878,0.06267728,97,0.11605373,58241.66667,3.938804185,0.483555968,4.32,0.231363571,6
389,WA,53,33,53033,9100,2,530330091002,1969,49225,0.04,1643,41075,706115,5399,137289,1060,0,176,490802,-2693,66772,4638,32,961,4642446,32394,961023,0.0253293,47,0.04250518,115950,6.574631611,0.695073749,4.38,0.228546787,3
390,WA,53,33,53033,9200,1,530330092001,2016,40320,0.05,1760,35200,637690.3111,2250,61509,1635,0,252,426547.2538,0,143508,5170.539035,3.53903515,668,5173035.133,3752.132782,667876,0.02287474,50,0.051512,103410.7807,8.112143219,0.668894048,3.16,0.316214613,1
391,WA,53,33,53033,9200,2,530330092002,1618,20225,0.08,1614,20175,1062256.755,347.6299125,179099.2772,877,0,234,1608093.33,-1440,188816,5878.183259,0,234,5879362.044,0,233760,0.04822451,101,0.07903999,73477.29074,5.53478433,1.513846179,6.70,0.149195757,7
392,WA,53,33,53033,9300,1,530330093001,1041,3589.7,0.29,917,3162.1,3841527.813,452,1060195,473,0,105,957944,0,159164,2557.896251,0,1049,4962677.416,0,1795646,0.13780085,111,0.29233507,8820.3319,1.291849924,0.249365369,5.41,0.184917586,1
393,WA,53,33,53033,9300,2,530330093002,1488,1730.2,0.86,1435,1668.6,17054616.69,700,3710123.008,734,0,497,9303842.083,0,1491000,9277.277706,0,2257,29998895.95,0,5397766,0.62728752,140,0.86028038,10787.53222,1.75898975,0.545532172,12.64,0.079118037,3
394,WA,53,33,53033,9300,3,530330093003,1275,512,2.49,1259,505.6,46268332.41,113,1579819.344,411,0,35,15114131.14,0,604199.1576,797.8903025,0,55,39597274.42,0,1049132,1.67036122,1097,2.49149357,320.4378725,0.855818059,0.326662543,1.94,0.515108404,7
395,WA,53,33,53033,9400,1,530330094001,1288,21466.7,0.06,1233,20550,1098997,1628,154055,685,0,109,3410,0,3410,1125,0,99,0,0,0,0.03942194,162,0.05853872,18750,0,0.003102829,1.64,0.608888889,0
396,WA,53,33,53033,9400,2,530330094002,1643,8647.4,0.19,1471,7742.1,3271249,1593,51205,828,0,186,450101,0,52490,5703,0,239,4608502,0,239383,0.11734448,431,0.18969957,30015.78947,1.408789731,0.137593011,6.89,0.145186744,0
397,WA,53,33,53033,9400,3,530330094003,1411,14110,0.1,1266,12660,1745731,1655,128754,711,0,48,75832,0,52335,1681,0,120,215025,0,66790,0.0626216,276,0.09876598,16810,0.123171898,0.043438537,2.36,0.422962522,1
398,WA,53,33,53033,9400,4,530330094004,1405,7025,0.2,1369,6845,1895057,453,61798,705,0,97,468554,0,70728,2794,0,208,2974419,0,208099,0.06797791,254,0.19889926,13970,1.569567037,0.24725061,3.96,0.252326414,1
399,WA,53,33,53033,9400,5,530330094005,1289,11718.2,0.11,1227,11154.5,1704410,1919,294577,651,0,21,259271,0,259271,3170,0,1217,1843281,0,1217598,0.06113948,191,0.10515883,28818.18182,1.081477461,0.152117742,4.87,0.205362776,3
400,WA,53,33,53033,9500,1,530330095001,1715,6351.9,0.27,1704,6311.1,4654360.606,953,389146.1353,690.0886678,0,18,29045.74793,-4352,15230,1002.84397,0,39.7160464,141550,0,27559,0.17045671,654,0.26585023,3714.236928,0.030412341,0.006240545,1.45,0.688131642,2
401,WA,53,33,53033,9500,2,530330095002,1936,6453.3,0.3,1861,6203.3,4852995,608,474105,1063,0,150,745818,-390,201590,7776,0,2177,5760389,0,2177176,0.17340867,541,0.2988011,25920,1.186976084,0.153682005,7.32,0.136702675,5
402,WA,53,33,53033,9500,3,530330095003,1496,5753.8,0.26,1435,5519.2,4589510.071,10.02400786,467013.0378,569.1889053,0,9,92457.95928,0,56623.24959,698.8835626,0,27.89960738,42015.07788,0,21917,0.18499242,563,0.26155094,2688.013702,0.009154589,0.020145497,1.23,0.814425944,2
403,WA,53,33,53033,9500,4,530330095004,1769,9827.8,0.18,1747,9705.6,3314529,261,570862,1084,0,203,681208,0,291940,9088,0,4710,7631172,0,4709612,0.11889592,356,0.1767177,50488.88889,2.302339789,0.20552181,8.38,0.119278169,0
404,WA,53,33,53033,9600,1,530330096001,1530,7650,0.2,1523,7615,3705876.405,99,185232,847,0,76,129421,-520,30899,2117.4564,0,237,1402069.258,0,236303,0.1329345,493,0.19733912,10587.282,0.378336756,0.034923183,2.50,0.400008236,3
405,WA,53,33,53033,9600,2,530330096002,1524,6096,0.25,1426,5704,4249873.538,0,706114,892,0,50,44015.07478,0,29256,917.9994208,0,145,41220,0,32627,0.18813661,382,0.25185085,3671.997683,0.009699112,0.010356796,1.03,0.971678173,2
