OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Development Site Land Area (sqft),Minimum Development Site Land Area (sqft),Maximum Development Site Land Area (sqft),Sum Existing Housing Units,Minimum Existing Housing Units,Maximum Existing Housing Units,Sum Existing Commercial Sqft,Minimum Existing Commercial Sqft,Maximum Existing Commercial Sqft,Sum Potential Housing Units (all residential development),Minimum Potential Housing Units (all residential development),Maximum Potential Housing Units (all residential development),Sum Potential Commercial Floor Area (all commercial development),Minimum Potential Commercial Floor Area (all commercial development),Maximum Potential Commercial Floor Area (all commercial development),Summarized Area in Square Miles,Count of Polygons,Area in Square Miles,Max Dwellings Per Sq Mi,Mean Max Comm FAR ,Current Comm Percent,Mean Max Dwelling Ratio,Current Dwellings Per Sq Mi,Count of Points
78,WA,53,33,53033,2000,3,530330020003,1194,7462.5,0.16,1163,7268.8,3750515,908,1084011,574,0,82,51329,0,9650,1031,0,202,299322,0,64746,0.13454009,394,0.15924771,6443.75,0.07980824,0.013685854,1.80,0.556741028,1
79,WA,53,33,53033,2100,1,530330021001,1428,7515.8,0.19,1425,7500,3985345,295,27481,586,0,26,19689,-400,8746,636,0,49,102518,0,48938,0.14296406,528,0.19441481,3347.368421,0.025723745,0.00494035,1.09,0.921383648,0
80,WA,53,33,53033,2100,2,530330021002,1376,7242.1,0.19,1365,7184.2,3837519.251,252,358211,568.8641247,0,68,66446,0,33231,1105.864125,0,313,189498,0,109419,0.13766099,427,0.1864167,5820.337498,0.049380339,0.017314832,1.94,0.51440689,0
81,WA,53,33,53033,2100,3,530330021003,1711,11406.7,0.15,1633,10886.7,2971314.749,0.3144014,194180,738.1358753,0,86,161911,0,41047,1611.135875,0,139,908033,0,101518,0.10658822,367,0.14637598,10740.90584,0.305599735,0.054491366,2.18,0.45814626,3
82,WA,53,33,53033,2200,1,530330022001,1575,6562.5,0.24,1572,6550,4856171,2896,27573,608,0,8,2976,0,1920,514,0,17,33809,0,17280,0.17420319,601,0.2378807,2141.666667,0.006962069,0.000612829,0.85,1.182879377,0
83,WA,53,33,53033,2200,2,530330022002,1506,6845.5,0.22,1503,6831.8,4757808,210,122409,594,0,22,56449,0,40828,735,0,41,149920,0,40560,0.17067386,571,0.21923105,3340.909091,0.031510309,0.011864497,1.24,0.808163265,2
84,WA,53,33,53033,2200,3,530330022003,1603,6412,0.25,1597,6388,5059721.111,15.98670194,253187.6587,638.7968348,0,91,22410.80008,0,20805,761.2693174,0,146,288708,0,146031,0.19095058,559,0.24555542,3045.07727,0.057060062,0.004429256,1.19,0.83912069,1
85,WA,53,33,53033,2200,4,530330022004,1333,3507.9,0.38,1276,3357.9,9090854.51,22.58801865,4107188.13,521.0599187,0,84,40160.19992,0,40160.19992,1187.849527,0,516.3211737,0,0,0,0.32610703,440,0.37997924,3125.919808,0,0.004417649,2.28,0.438658186,1
86,WA,53,33,53033,2400,1,530330024001,1536,7314.3,0.21,1509,7185.7,4457387.843,59.09086855,431812,595.111347,0,6,115603,0,57647,1116.111848,0,271,376896,0,270699,0.15989692,597,0.21499627,5314.818323,0.084555352,0.025935145,1.88,0.533200457,0
87,WA,53,33,53033,2400,2,530330024002,1729,10806.3,0.16,1708,10675,3085764,2995,275980,711,0,204,24152,0,7584,896,1,256,106939,0,29251,0.11069373,496,0.15664517,5600,0.034655599,0.007826911,1.26,0.793526786,0
