OBJECTID,State Abbreviation,State FIPS Code,County FIPS Code,State and County FIPS Code,Tract FIPS Code,Block Group FIPS Code,FIPS Code,2022 Total Population,Persons per square mile,Area in square miles,2020 Total Population,2020 Population Density,Sum Planning Existing Land Use Code,Summarized Area in Square Miles,Count of Polygons,JOIN ID,Area in Square Miles,Count of Points,Percent Neutral Ground
148,WA,53,33,53033,4102,2,530330041022,1501,7147.6,0.21,1414,6733.3,941,0.15817522,490,148,0.20511078,2,26.6994376
149,WA,53,33,53033,4102,3,530330041023,1456,6618.2,0.22,1424,6472.7,723.0005316,0.16791496,487,149,0.22127526,0,0.8197043
150,WA,53,33,53033,4201,1,530330042011,1334,6352.4,0.21,1326,6314.3,610.7444836,0.1568049,468,150,0.20573815,0,9.79617128
151,WA,53,33,53033,4201,2,530330042012,1333,10253.8,0.13,1323,10176.9,720.8758132,0.09049707,314,151,0.12620039,0,20.66191646
152,WA,53,33,53033,4201,3,530330042013,1316,8773.3,0.15,1310,8733.3,653,0.10863707,479,152,0.14840901,0,3.88361205
153,WA,53,33,53033,4202,1,530330042021,1467,7335,0.2,1457,7285,717.4649164,0.14727199,453,153,0.19833455,3,35.2627721
154,WA,53,33,53033,4202,2,530330042022,1431,11007.7,0.13,1428,10984.6,580,0.08898903,517,154,0.13042809,1,0.66976202
155,WA,53,33,53033,4202,3,530330042023,1590,11357.1,0.14,1556,11114.3,830,0.09849362,556,155,0.14266558,3,1.50465922
156,WA,53,33,53033,4301,1,530330043011,1554,11953.8,0.13,1324,10184.6,552.9147868,0.11062248,172,156,0.13295832,2,49.33960193
157,WA,53,33,53033,4301,2,530330043012,1317,13170,0.1,1300,13000,594,0.07228085,466,157,0.10095772,0,1.51492738
158,WA,53,33,53033,4301,3,530330043013,1331,9507.1,0.14,1319,9421.4,515.7111211,0.11015258,377,158,0.14414412,2,35.20501387
159,WA,53,33,53033,4302,1,530330043021,1099,18316.7,0.06,1086,18100,400.4897857,0.04130239,89,159,0.06056494,0,12.11520013
160,WA,53,33,53033,4302,2,530330043022,1429,47633.3,0.03,1371,45700,289.5102143,0.01941115,56,160,0.02783345,0,9.64833183
161,WA,53,33,53033,4302,3,530330043023,1546,38650,0.04,1463,36575,366,0.0269717,132,161,0.039475,0,0
162,WA,53,33,53033,4401,1,530330044011,1508,11600,0.13,1426,10969.2,489.2888789,0.09190309,285,162,0.12676639,1,32.7475083
163,WA,53,33,53033,4401,2,530330044012,1215,12150,0.1,1207,12070,612,0.06119246,361,163,0.09784249,1,6.82970706
164,WA,53,33,53033,4401,3,530330044013,1001,25025,0.04,1177,29425,309,0.02839634,158,164,0.0436859,0,2.83757099
165,WA,53,33,53033,4402,1,530330044021,1266,31650,0.04,1263,31575,744,0.02742935,188,165,0.04180487,0,13.53926835
166,WA,53,33,53033,4402,2,530330044022,1235,24700,0.05,1232,24640,685,0.03112616,234,166,0.04982567,0,5.79777347
167,WA,53,33,53033,4402,3,530330044023,1070,53500,0.02,1069,53450,472,0.01441217,113,167,0.02226266,0,12.35847904
168,WA,53,33,53033,4500,1,530330045001,1233,11209.1,0.11,1206,10963.6,617,0.06244008,342,168,0.10649244,3,11.70473832
169,WA,53,33,53033,4500,2,530330045002,1787,11913.3,0.15,1766,11773.3,675,0.09037531,593,169,0.15259552,1,0.143807
170,WA,53,33,53033,4600,1,530330046001,1259,1554.3,0.81,1246,1538.3,616.8463367,0.72087916,428,170,0.81204048,2,26.16859063
171,WA,53,33,53033,4600,2,530330046002,1174,11740,0.1,1166,11660,624,0.06660621,427,171,0.10210909,0,1.29288541
172,WA,53,33,53033,4600,3,530330046003,1154,14425,0.08,1151,14387.5,513,0.05714219,371,172,0.08412857,1,3.06732427
173,WA,53,33,53033,4701,1,530330047011,1349,33725,0.04,1336,33400,727,0.02544123,167,173,0.03800807,2,9.98684777
174,WA,53,33,53033,4701,2,530330047012,1222,9400,0.13,1214,9338.5,1416.358777,0.09522498,173,174,0.13297016,14,19.19897342
175,WA,53,33,53033,4701,3,530330047013,1095,21900,0.05,1089,21780,591,0.02931732,81,175,0.0494595,5,32.09966066
176,WA,53,33,53033,4702,1,530330047021,1099,21980,0.05,1070,21400,1318,0.03451549,298,176,0.05330517,2,16.75646725
177,WA,53,33,53033,4702,2,530330047022,1589,52966.7,0.03,1494,49800,156,0.01604902,20,177,0.02622321,0,43.25073647
178,WA,53,33,53033,4702,3,530330047023,1358,67900,0.02,1353,67650,430,0.01539199,83,178,0.02333536,3,30.44782239
179,WA,53,33,53033,4703,1,530330047031,1272,12720,0.1,1205,12050,3140,0.06413371,631,179,0.09843379,0,0.48645275
180,WA,53,33,53033,4703,2,530330047032,1367,8543.8,0.16,1285,8031.3,2202,0.09751924,266,180,0.15728313,4,20.04855752
181,WA,53,33,53033,4703,3,530330047033,1178,5890,0.2,1145,5725,3291.562429,0.13947737,516,181,0.20311858,6,21.30328269
182,WA,53,33,53033,4800,1,530330048001,1190,10818.2,0.11,1154,10490.9,845,0.0670644,439,182,0.10689998,0,0.12575742
183,WA,53,33,53033,4800,2,530330048002,1331,12100,0.11,1328,12072.7,694,0.07501183,435,183,0.11390383,1,0.94717406
184,WA,53,33,53033,4800,3,530330048003,1410,8812.5,0.16,1387,8668.8,2100.353488,0.09899108,548,184,0.16200549,2,6.86668219
185,WA,53,33,53033,4800,4,530330048004,1266,11509.1,0.11,1244,11309.1,759,0.0732572,439,185,0.11071366,1,0.90518112
186,WA,53,33,53033,4901,1,530330049011,1333,16662.5,0.08,1266,15825,1248.000803,0.04660221,380,186,0.07575879,0,3.96815884
187,WA,53,33,53033,4901,2,530330049012,1489,24816.7,0.06,1475,24583.3,1115,0.04108271,355,187,0.06167584,2,0.29727163
188,WA,53,33,53033,4901,3,530330049013,1192,23840,0.05,1105,22100,1266,0.03252609,323,188,0.05452183,1,9.8283933
189,WA,53,33,53033,4902,1,530330049021,1783,14858.3,0.12,1729,14408.3,1314,0.07300664,494,189,0.12161315,1,2.40246214
190,WA,53,33,53033,4902,2,530330049022,1431,13009.1,0.11,1414,12854.5,1611.338871,0.07576662,337,190,0.10913831,13,11.68330943
191,WA,53,33,53033,5000,1,530330050001,1834,12226.7,0.15,1754,11693.3,2867,0.08868975,579,191,0.150752,5,7.94649405
